x[m]	rho[kg/m3]	u[m/s]	p[Pa]	T[K]	P_r[m]	P_u[m/s]	P_T[K]	P_N[-]
0.215932	0.62194	1657.59	345585	1232.05	0	0	0	0
0.216433	0.600027	1671.35	330754	1222.24	0	0	0	0
0.216934	0.579644	1684.42	317063	1212.85	0	0	0	0
0.217435	0.560691	1696.81	304426	1203.87	0	0	0	0
0.217936	0.543069	1708.57	292757	1195.3	0	0	0	0
0.218437	0.526672	1719.71	281973	1187.11	0	0	0	0
0.218938	0.511422	1730.27	272009	1179.31	0	0	0	0
0.219439	0.49723	1740.27	262794	1171.87	0	0	0	0
0.21994	0.484005	1749.75	254257	1164.79	0	0	0	0
0.220441	0.471676	1758.73	246344	1158.04	0	0	0	0
0.220942	0.460183	1767.24	239009	1151.61	0	0	0	0
0.221443	0.449458	1775.31	232199	1145.5	0	0	0	0
0.221944	0.439431	1782.96	225865	1139.68	0	0	0	0
0.222445	0.43005	1790.22	219967	1134.13	0	0	0	0
0.222946	0.421265	1797.11	214469	1128.84	0	0	0	0
0.223447	0.413032	1803.65	209340	1123.8	0	0	0	0
0.223948	0.40531	1809.87	204549	1119.01	0	0	0	0
0.224449	0.398063	1815.77	200071	1114.44	0	0	0	0
0.22495	0.391254	1821.38	195880	1110.08	0	0	0	0
0.225451	0.384849	1826.71	191952	1105.92	0	0	0	0
0.225952	0.378816	1831.79	188265	1101.96	0	0	0	0
0.226453	0.373131	1836.63	184803	1098.17	0	0	0	0
0.226954	0.36777	1841.23	181549	1094.56	0	0	0	0
0.227455	0.362713	1845.61	178488	1091.11	0	0	0	0
0.227956	0.357934	1849.79	175605	1087.82	0	0	0	0
0.228457	0.353415	1853.78	172887	1084.68	0	0	0	0
0.228958	0.349137	1857.58	170320	1081.67	0	0	0	0
0.229459	0.345083	1861.22	167894	1078.79	0	0	0	0
0.22996	0.341238	1864.69	165600	1076.03	0	0	0	0
0.230461	0.337589	1868.01	163427	1073.39	0	0	0	0
0.230962	0.334132	1871.17	161373	1070.87	0	0	0	0
0.231463	0.330856	1874.19	159432	1068.46	0	0	0	0
0.231964	0.327744	1877.09	157591	1066.15	0	0	0	0
0.232465	0.324779	1879.86	155841	1063.94	0	0	0	0
0.232966	0.321955	1882.5	154178	1061.82	0	0	0	0
0.233467	0.319278	1885.03	152603	1059.79	0	0	0	0
0.233968	0.316736	1887.45	151112	1057.85	0	0	0	0
0.234469	0.314309	1889.76	149690	1055.99	0	0	0	0
0.23497	0.311993	1891.98	148335	1054.2	0	0	0	0
0.235471	0.309795	1894.1	147052	1052.49	0	0	0	0
0.235972	0.307703	1896.13	145832	1050.86	0	0	0	0
0.236473	0.3057	1898.07	144665	1049.28	0	0	0	0
0.236974	0.303797	1899.92	143559	1047.78	0	0	0	0
0.237475	0.30199	1901.7	142510	1046.35	0	0	0	0
0.237976	0.300256	1903.4	141504	1044.97	0	0	0	0
0.238477	0.29861	1905.02	140551	1043.65	0	0	0	0
0.238978	0.297046	1906.58	139646	1042.39	0	0	0	0
0.239479	0.295546	1908.06	138780	1041.18	0	0	0	0
0.23998	0.294123	1909.48	137958	1040.02	0	0	0	0
0.240481	0.292766	1910.84	137176	1038.92	0	0	0	0
0.240982	0.291472	1912.13	136431	1037.86	0	0	0	0
0.241483	0.290245	1913.37	135724	1036.85	0	0	0	0
0.241984	0.28907	1914.55	135049	1035.88	0	0	0	0
0.242485	0.287957	1915.67	134410	1034.97	0	0	0	0
0.242986	0.286899	1916.74	133802	1034.09	0	0	0	0
0.243487	0.285892	1917.76	133225	1033.25	0	0	0	0
0.243988	0.284939	1918.73	132679	1032.46	0	0	0	0
0.244489	0.284032	1919.65	132159	1031.7	0	0	0	0
0.24499	0.283174	1920.52	131668	1030.98	0	0	0	0
0.245491	0.282359	1921.35	131201	1030.29	0	0	0	0
0.245992	0.281589	1922.14	130761	1029.64	0	0	0	0
0.246493	0.280861	1922.88	130345	1029.03	0	0	0	0
0.246994	0.280175	1923.58	129953	1028.45	0	0	0	0
0.247495	0.279527	1924.24	129584	1027.9	0	0	0	0
0.247996	0.278921	1924.86	129238	1027.38	0	0	0	0
0.248497	0.278353	1925.43	128914	1026.9	0	0	0	0
0.248998	0.277835	1925.94	128619	1026.45	0	0	0	0
0.249499	0.277383	1926.28	128361	1026.07	0	0	0	0
0.25	0.27717	1926.39	128239	1025.88	0	0	0	0
